Código,ASIGNATURA,RA
MAES-00124,ÁLGEBRA LINEAL,Comprende y usa conceptos de producto interior y ortogonalidad para resolver problemas de aplicación.
MAES-00124,ÁLGEBRA LINEAL,Comprende y usa conceptos, describe, determina y evalúa sistemas de ecuaciones lineales.
MAES-00124,ÁLGEBRA LINEAL,Comprende y usa determinantes para el análisis de matrices.
MAES-00124,ÁLGEBRA LINEAL,Comprende y usa conceptos, describe, determina y evalúa espacios vectoriales.
MAES-00124,ÁLGEBRA LINEAL,Comprende, usa conceptos, describe y utiliza el álgebra de matrices.
MAES-00124,ÁLGEBRA LINEAL,Comprende y usa conceptos, describe, determina y evalúa valores propios y vectores propios.
HUMA-00114,SOCIEDAD, CULTURA Y TERRITORIO,Comprende la importancia del territorio para las sociedades y naciones.
HUMA-00114,SOCIEDAD, CULTURA Y TERRITORIO,Expone con claridad la importancia de la educación y el conocimiento en la economía local y mundial.
HUMA-00114,SOCIEDAD, CULTURA Y TERRITORIO,Identifica y explica las diferentes posiciones sobre el concepto de desarrollo.
HUMA-00114,SOCIEDAD, CULTURA Y TERRITORIO,Comprende con profundidad el concepto de cultura y sus diferentes acepciones históricas.
MAES-00126,MATEMÁTICAS DISCRETAS,Reconoce los diferentes sistemas de numeración posicionales y es capaz de efectuar operaciones y conversiones entre ellos.
MAES-00126,MATEMÁTICAS DISCRETAS,Modela y resuelve problemas reales mediante la teoría de grafos.
MAES-00126,MATEMÁTICAS DISCRETAS,Utiliza las teorías adecuadas para resolver problemas reales usando árboles.
MAES-00126,MATEMÁTICAS DISCRETAS,Aplica los principios lógicos en su vida cotidiana a partir de la lógica, la teoría de conjuntos y la teoría de los números.
MAES-00126,MATEMÁTICAS DISCRETAS,Aplica con destreza la teoría en demostraciones.
MAES-00126,MATEMÁTICAS DISCRETAS,Utiliza el álgebra booleana como mecanismo para la simplificación de proposiciones.
IDIO-00064,LENGUAJE Y COMUNICACIÓN TÉCNICA,Comunica adecuadamente de forma escrita y verbal los resultados de su trabajo.
IDIO-00064,LENGUAJE Y COMUNICACIÓN TÉCNICA,Emplea herramientas computacionales para una adecuada comunicación de ideas y criterios.
IDIO-00064,LENGUAJE Y COMUNICACIÓN TÉCNICA,Conoce los principios básicos, el ordenamiento, estructura y características de la escritura académica.
TICS-00049,INTRODUCCIÓN A LA INGENIERÍA,Reconoce el valor del trabajo cooperativo, creativo, ético y multidisciplinario en el ámbito de la ingeniería.
TICS-00049,INTRODUCCIÓN A LA INGENIERÍA,Reconoce y aplica estrategias de estudio.
TICS-00049,INTRODUCCIÓN A LA INGENIERÍA,Expresa la relevancia del accionar del ingeniero en ciencias de la computación, en la red: ciencia, tecnología, sociedad y medio ambiente.
TICS-00049,INTRODUCCIÓN A LA INGENIERÍA,Identifica actitudes y valores necesarios para el desempeño profesional.
TICS-00069,Sistemas Operativos,Comprende el funcionamiento general de un sistema operativo y sus diferentes componentes.
TICS-00069,Sistemas Operativos,Administra procesos y concurrencia en sistemas multitarea.
TICS-00069,Sistemas Operativos,Implementa mecanismos de planificación de procesos.
TICS-00069,Sistemas Operativos,Gestiona la memoria y los sistemas de archivos.
TICS-00056,Arquitectura de Computadores,Identifica la estructura básica de un computador y su funcionamiento interno.
TICS-00056,Arquitectura de Computadores,Describe el conjunto de instrucciones y el ciclo de ejecución de instrucciones.
TICS-00056,Arquitectura de Computadores,Aplica técnicas de segmentación y paralelismo en arquitecturas modernas.
TICS-00056,Arquitectura de Computadores,Analiza el rendimiento de diferentes configuraciones arquitectónicas.
MAES-00127,Cálculo Integral,Aplica los métodos de integración para funciones de una variable real.
MAES-00127,Cálculo Integral,Utiliza la integral definida para calcular áreas bajo la curva y volúmenes de sólidos de revolución.
MAES-00127,Cálculo Integral,Aplica técnicas de integración numérica y por partes.
MAES-00127,Cálculo Integral,Formula modelos matemáticos que involucran integrales para resolver problemas prácticos.
CCFF-00051,Física I (Mecánica),Conoce y aplica los principios de la cinemática y dinámica de cuerpos.
CCFF-00051,Física I (Mecánica),Aplica las leyes de Newton para resolver problemas de movimiento.
CCFF-00051,Física I (Mecánica),Comprende la conservación de la energía y cantidad de movimiento.
CCFF-00051,Física I (Mecánica),Aplica conceptos de trabajo, potencia y energía en sistemas mecánicos.
MAES-00121,Cálculo Diferencial,Determina el dominio y rango de funciones reales.
MAES-00121,Cálculo Diferencial,Interpreta la derivada como tasa de cambio en problemas aplicados.
MAES-00121,Cálculo Diferencial,Aplica reglas de derivación para funciones algebraicas, exponenciales y logarítmicas.
MAES-00121,Cálculo Diferencial,Aplica la derivada para analizar el comportamiento de funciones (crecimiento, extremos, concavidad).
